ds,start_hour,day_of_week,start_lat,start_lng,end_lat,end_lng,age,gender,usertype
2018-01-27,23,Sat,40.7435337324616,-74.00367558002472,40.7435337324616,-74.00367558002472,25,1,Subscriber
2018-01-29,13,Mon,40.746647,-73.993915,40.746647,-73.993915,36,1,Subscriber
2018-01-16,8,Tue,40.76068327096592,-73.9845272898674,40.76068327096592,-73.9845272898674,43,1,Subscriber
2018-01-31,19,Wed,40.74854862,-73.98808416,40.74854862,-73.98808416,36,1,Subscriber
2018-01-03,16,Wed,40.71939226,-74.00247214,40.71939226,-74.00247214,56,1,Subscriber
2018-01-29,6,Mon,40.7770575,-73.97898475,40.7770575,-73.97898475,32,1,Subscriber
2018-01-22,10,Mon,40.73935542,-73.99931783,40.73935542,-73.99931783,28,1,Subscriber
2018-01-20,19,Sat,40.799484,-73.955613,40.799484,-73.955613,32,2,Subscriber
2018-01-11,18,Thu,40.70905623,-74.01043382,40.70905623,-74.01043382,33,1,Subscriber
2018-01-27,23,Sat,40.74394314,-73.97966069,40.74394314,-73.97966069,35,2,Subscriber
2018-01-20,15,Sat,40.7381765,-73.97738662,40.7381765,-73.97738662,41,2,Subscriber
2018-01-15,20,Mon,40.7770575,-73.97898475,40.7770575,-73.97898475,46,1,Subscriber
2018-01-03,17,Wed,40.69221589,-73.9842844,40.69221589,-73.9842844,38,1,Subscriber
2018-01-12,7,Fri,40.73935542,-73.99931783,40.73935542,-73.99931783,44,1,Subscriber
2018-01-19,19,Fri,40.73038599,-74.00214988,40.73038599,-74.00214988,27,1,Subscriber
2018-01-18,18,Thu,40.73221853,-73.98165557,40.73221853,-73.98165557,37,2,Subscriber
2018-01-07,12,Sun,40.7462009,-73.98855723,40.7462009,-73.98855723,47,1,Subscriber
2018-01-03,9,Wed,40.74394314,-73.97966069,40.74394314,-73.97966069,57,2,Subscriber
2018-01-10,17,Wed,40.7457121,-73.98194829,40.7457121,-73.98194829,28,1,Subscriber
2018-01-22,8,Mon,40.7658346,-73.9265474,40.7658346,-73.9265474,34,1,Subscriber
2018-01-30,9,Tue,40.76800889305947,-73.96845281124115,40.76800889305947,-73.96845281124115,51,1,Subscriber
2018-01-23,17,Tue,40.75968085,-73.97031366,40.75968085,-73.97031366,25,2,Subscriber
2018-01-09,16,Tue,40.72430527250332,-73.99600982666016,40.72430527250332,-73.99600982666016,50,1,Subscriber
2018-01-22,7,Mon,40.7627442,-73.9391141,40.7627442,-73.9391141,27,1,Subscriber
2018-01-22,12,Mon,40.804213,-73.96699104,40.804213,-73.96699104,59,1,Subscriber
2018-01-22,8,Mon,40.7172274,-73.98802084,40.7172274,-73.98802084,27,1,Subscriber
2018-01-01,18,Mon,40.6728155,-73.98352355,40.6728155,-73.98352355,39,1,Subscriber
2018-01-23,16,Tue,40.6853761,-73.98302136,40.6853761,-73.98302136,51,1,Subscriber
2018-01-30,17,Tue,40.70853074,-73.96408963,40.70853074,-73.96408963,56,2,Subscriber
2018-01-28,13,Sun,40.72019576,-73.98997825,40.72019576,-73.98997825,31,1,Subscriber
2018-01-11,18,Thu,40.76500525,-73.95818491,40.76500525,-73.95818491,40,1,Subscriber
2018-01-02,21,Tue,40.6795766,-73.97854971,40.6795766,-73.97854971,61,2,Subscriber
2018-01-16,15,Tue,40.688226,-73.979382,40.688226,-73.979382,34,1,Subscriber
2018-01-02,12,Tue,40.74345335,-74.00004031,40.74345335,-74.00004031,49,0,Customer
2018-01-10,18,Wed,40.72494672359416,-74.00165855884552,40.72494672359416,-74.00165855884552,25,2,Subscriber
2018-01-12,8,Fri,40.68926942,-73.98912867,40.68926942,-73.98912867,35,1,Subscriber
2018-01-28,15,Sun,40.75594159,-74.0021163,40.75594159,-74.0021163,42,1,Subscriber
2018-01-26,7,Fri,40.73314259,-73.97573881,40.73314259,-73.97573881,50,2,Subscriber
2018-01-29,11,Mon,40.72036775298455,-73.96165072917938,40.72036775298455,-73.96165072917938,37,2,Subscriber
2018-01-21,21,Sun,40.73649403,-73.99704374,40.73649403,-73.99704374,33,1,Subscriber
2018-01-10,20,Wed,40.7457121,-73.98194829,40.7457121,-73.98194829,29,1,Subscriber
2018-01-18,20,Thu,40.6853761,-73.98302136,40.6853761,-73.98302136,32,1,Subscriber
2018-01-21,17,Sun,40.7817212,-73.94594,40.7817212,-73.94594,52,1,Subscriber
2018-01-26,16,Fri,40.72317958,-73.99480012,40.72317958,-73.99480012,41,1,Subscriber
2018-01-31,22,Wed,40.71754834,-74.01322069,40.71754834,-74.01322069,31,1,Subscriber
2018-01-11,15,Thu,40.70767788,-73.94016171,40.70767788,-73.94016171,36,1,Subscriber
2018-01-28,16,Sun,40.73143724085228,-73.99490341544151,40.73143724085228,-73.99490341544151,25,1,Subscriber
2018-01-18,17,Thu,40.695065,-73.987167,40.695065,-73.987167,27,1,Subscriber
2018-01-21,11,Sun,40.79017948095081,-73.97288918495178,40.79017948095081,-73.97288918495178,44,2,Subscriber
2018-01-15,9,Mon,40.77748046,-73.98288594,40.77748046,-73.98288594,45,1,Subscriber
2018-01-10,8,Wed,40.714215,-73.981346,40.714215,-73.981346,48,1,Subscriber
2018-01-16,12,Tue,40.6750207,-73.97111473,40.6750207,-73.97111473,32,2,Subscriber
2018-01-11,18,Thu,40.73781509,-73.99994661,40.73781509,-73.99994661,49,1,Subscriber
2018-01-16,21,Tue,40.70834698,-74.01713445,40.70834698,-74.01713445,29,2,Subscriber
2018-01-19,16,Fri,40.75724567911726,-73.97805914282799,40.75724567911726,-73.97805914282799,48,1,Subscriber
